method,epsilon,mean_calls,std_calls,reachable_ratio,source_type
Classical MC,0.001,307833.625,119916.19545742925,1.0,fallback
F-QAE,0.001,1530803.0,550014.2471336538,1.0,discrete
I-QAE,0.001,36742.25,27542.236554744424,1.0,mixed
ML-QAE,0.001,21504.0,7931.86989303279,1.0,discrete
Classical MC,0.002,75187.875,28584.452528592796,1.0,mixed
F-QAE,0.002,763613.0,240195.0,1.0,discrete
I-QAE,0.002,5248.0,1078.547170966574,1.0,discrete
ML-QAE,0.002,12288.0,3965.934946516395,1.0,discrete
Classical MC,0.005,19250.0,9692.135987490065,1.0,discrete
F-QAE,0.005,332516.75,157002.43401278052,1.0,discrete
I-QAE,0.005,3584.0,886.8100134752651,1.0,discrete
ML-QAE,0.005,4096.0,1773.6200269505302,1.0,discrete
Classical MC,0.01,6000.0,3162.2776601683795,1.0,discrete
F-QAE,0.01,170295.5,58989.32037877704,1.0,discrete
I-QAE,0.01,3584.0,886.8100134752651,1.0,discrete
ML-QAE,0.01,3072.0,0.0,1.0,discrete
Classical MC,0.02,1270.0,641.7943595888016,1.0,discrete
F-QAE,0.02,136238.0,0.0,1.0,discrete
I-QAE,0.02,768.75,1424.9435734442259,1.0,discrete
ML-QAE,0.02,3072.0,0.0,1.0,discrete
Classical MC,0.05,200.0,69.2820323027551,1.0,discrete
F-QAE,0.05,136238.0,0.0,1.0,discrete
I-QAE,0.05,1.0,0.0,1.0,discrete
ML-QAE,0.05,3072.0,0.0,1.0,discrete
Classical MC,0.1,62.5,41.75823272122516,1.0,discrete
F-QAE,0.1,136238.0,0.0,1.0,discrete
I-QAE,0.1,1.0,0.0,1.0,discrete
ML-QAE,0.1,3072.0,0.0,1.0,discrete
