round,method,assets,n,n_l,mean_relative_error,total_oracle_calls
0,I-QAE,"MELI,OKTA,EVRG,META,MRK",5,6,0.004029321348957368,78848
0,ML-QAE,"MELI,OKTA,EVRG,META,MRK",5,6,0.00669412435992432,76800
0,F-QAE,"MELI,OKTA,EVRG,META,MRK",5,6,0.015974126218926944,2617090
1,I-QAE,"BIDU,ZM,LOW,DIS,BIL",5,6,0.15790078983584938,21504
1,ML-QAE,"BIDU,ZM,LOW,DIS,BIL",5,6,0.02678700880634442,76800
1,F-QAE,"BIDU,ZM,LOW,DIS,BIL",5,6,0.05405505005409246,2631439
2,I-QAE,"PDD,SEDG,BAC,EXC,BIL",5,6,0.013173408184742613,76800
2,ML-QAE,"PDD,SEDG,BAC,EXC,BIL",5,6,0.021109100510114727,76800
2,F-QAE,"PDD,SEDG,BAC,EXC,BIL",5,6,0.021169917101670776,2631439
3,I-QAE,"TSLA,CRWD,INTC,ATO,JNJ",5,6,0.014350329647945453,22528
3,ML-QAE,"TSLA,CRWD,INTC,ATO,JNJ",5,6,0.00958213241757093,76800
3,F-QAE,"TSLA,CRWD,INTC,ATO,JNJ",5,6,0.013582032640828873,2617090
4,I-QAE,"ARKG,NIO,AMZN,CVX,GOVT",5,6,0.15565731017569812,21504
4,ML-QAE,"ARKG,NIO,AMZN,CVX,GOVT",5,6,0.05822225921824381,76800
4,F-QAE,"ARKG,NIO,AMZN,CVX,GOVT",5,6,0.1073558701745249,2617090
5,I-QAE,"NVDA,ZM,ETR,PFE,PG",5,6,0.03779827818938207,48128
5,ML-QAE,"NVDA,ZM,ETR,PFE,PG",5,6,0.009188484651566478,76800
5,F-QAE,"NVDA,ZM,ETR,PFE,PG",5,6,0.021636786364841894,2617090
6,I-QAE,"NET,SE,HD,EXC,AWK",5,6,0.025207742554052025,54272
6,ML-QAE,"NET,SE,HD,EXC,AWK",5,6,0.004526669015239437,76800
6,F-QAE,"NET,SE,HD,EXC,AWK",5,6,0.011366997544223077,2617090
7,I-QAE,"MELI,BIDU,INTC,SLV,JNK",5,6,0.0009663664257305272,57344
7,ML-QAE,"MELI,BIDU,INTC,SLV,JNK",5,6,0.008415400065941835,76800
7,F-QAE,"MELI,BIDU,INTC,SLV,JNK",5,6,0.016885908299122405,2617090
