n_l,method,rel_error
2,qae_fae,0.7577695822237841
2,qae_iqae,0.6362011772109316
2,qae_mlqae,0.7263544204556301
2,shots(1024),0.6888842761844179
2,shots(4096),0.8441199425945443
2,statevector,0.6556264624918324
3,qae_fae,0.10345691771972239
3,qae_iqae,0.20983005252626108
3,qae_mlqae,0.12019526133652678
3,shots(1024),0.9560072751373982
3,shots(4096),0.5446182242358849
3,statevector,0.13504176353554823
4,qae_fae,0.11287184496530388
4,qae_iqae,0.07573884650583017
4,qae_mlqae,0.08232756127593951
4,shots(1024),1.1344207896653544
4,shots(4096),0.43506621801514184
4,statevector,0.032420614857118585
5,qae_fae,0.12748152726408085
5,qae_iqae,0.07096326156930496
5,qae_mlqae,0.06454528419548505
5,shots(1024),2.09916799001092
5,shots(4096),0.40610685780688605
5,statevector,0.00802633245047297
6,qae_fae,0.09106074015513847
6,qae_iqae,0.074964364243605
6,qae_mlqae,0.09139602144719379
6,shots(1024),2.435549239624747
6,shots(4096),0.6979345643689743
6,statevector,0.002001727797274418
