date,bucket,series_type,value
2020-04-02,Low Volatility,cum_ret,1.0233880713036265
2020-04-03,Low Volatility,cum_ret,1.0092175362282032
2020-04-06,Low Volatility,cum_ret,1.0496642838816825
2020-04-07,Low Volatility,cum_ret,1.0424695298714883
2020-04-08,Low Volatility,cum_ret,1.0699720639041794
2020-04-09,Low Volatility,cum_ret,1.0947686286030278
2020-04-13,Low Volatility,cum_ret,1.0788445442054437
2020-04-14,Low Volatility,cum_ret,1.103399151188473
2020-04-15,Low Volatility,cum_ret,1.0870095534132171
2020-04-16,Low Volatility,cum_ret,1.0924647516888262
2020-04-17,Low Volatility,cum_ret,1.1063740568265896
2020-04-20,Low Volatility,cum_ret,1.0859043080538822
2020-04-21,Low Volatility,cum_ret,1.06893854228485
2020-04-22,Low Volatility,cum_ret,1.083067706249085
2020-04-23,Low Volatility,cum_ret,1.075300398936576
2020-04-24,Low Volatility,cum_ret,1.0790594915716893
2020-04-27,Low Volatility,cum_ret,1.0817650681935949
2020-04-28,Low Volatility,cum_ret,1.0834455975697355
2020-04-29,Low Volatility,cum_ret,1.0812854012139579
2020-04-30,Low Volatility,cum_ret,1.0700949025514472
2020-05-01,Low Volatility,cum_ret,1.0574279039261238
2020-05-04,Low Volatility,cum_ret,1.058198651740729
2020-05-05,Low Volatility,cum_ret,1.064683212441319
2020-05-06,Low Volatility,cum_ret,1.0464227027978605
2020-05-07,Low Volatility,cum_ret,1.0507106268463133
2020-05-08,Low Volatility,cum_ret,1.0597911404747022
2020-05-11,Low Volatility,cum_ret,1.058791366807132
2020-05-12,Low Volatility,cum_ret,1.0528312416806467
2020-05-13,Low Volatility,cum_ret,1.0465616595263683
2020-05-14,Low Volatility,cum_ret,1.051813653645225
2020-05-15,Low Volatility,cum_ret,1.0504281020062156
2020-05-18,Low Volatility,cum_ret,1.0691441686919068
2020-05-19,Low Volatility,cum_ret,1.0575383297140346
2020-05-20,Low Volatility,cum_ret,1.063965990114414
2020-05-21,Low Volatility,cum_ret,1.0591984141687703
2020-05-22,Low Volatility,cum_ret,1.0619413929747228
2020-05-26,Low Volatility,cum_ret,1.066672454541352
2020-05-27,Low Volatility,cum_ret,1.0734520946896076
2020-05-28,Low Volatility,cum_ret,1.0857841980773755
2020-05-29,Low Volatility,cum_ret,1.0935785259719069
