application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector,noise_model,noise_single_qubit_error,noise_two_qubit_error,noise_readout_error
Func-8,1,method,cobyla_iteration,1,256,0.8571428571428578,0.8571428571428578,1.4209252914919321,1.4209252914919321,0.413065204248304,0.413065204248304,41.3065204248304,41.3065204248304,1.4209252914919321,97.65625,0.0,2.9085937499999974,-6.91,0.9765625,0.9765625,6.44184,6.800000000000001,COBYLA,aer_noise,11,7,0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,2,method,cobyla_iteration,2,256,0.8571428571428578,0.8571428571428578,1.4136498301934148,1.4136498301934148,0.4143103061142329,0.4143103061142329,41.43103061142329,41.43103061142329,1.4136498301934148,97.65625,0.78125,2.858320312499998,-6.91,0.9765625,0.9765625,6.49204,6.91,COBYLA,aer_noise,11,7,1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,3,method,cobyla_iteration,3,256,0.8571428571428578,0.8571428571428578,1.6378889314585945,1.6378889314585945,0.37909101784928445,0.37909101784928445,37.909101784928446,37.909101784928446,1.6378889314585945,97.265625,0.0,4.407812499999999,-6.91,0.97265625,0.97265625,6.509638554216869,6.800000000000001,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,4,method,cobyla_iteration,4,256,0.8571428571428578,0.8571428571428578,1.6349267389796334,1.6349267389796334,0.3795171930993599,0.3795171930993599,37.95171930993599,37.95171930993599,1.6349267389796334,97.265625,0.0,4.38734375,-6.91,0.97265625,0.97265625,6.529799196787148,6.800000000000001,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,5,method,cobyla_iteration,5,256,1.0,1.0,1.6265150168256366,1.6265150168256366,0.3807326413875158,0.3807326413875158,38.073264138751576,38.073264138751576,1.6265150168256366,97.265625,0.390625,4.32921875,-6.91,0.97265625,0.97265625,6.588674698795181,6.91,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;1.22831853072;1.22831853072;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,6,method,cobyla_iteration,6,256,1.0,1.0,1.6287705794193497,1.6287705794193497,0.38040596156583695,0.38040596156583695,38.040596156583696,38.040596156583696,1.6287705794193497,97.265625,0.0,4.3448046875,-6.91,0.97265625,0.97265625,6.57293172690763,6.800000000000001,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;1.22831853072;1.22831853072;1.22831853072;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,7,method,cobyla_iteration,7,256,1.0,1.0,1.6208450186264038,1.6208450186264038,0.3815563274031764,0.3815563274031764,38.15563274031764,38.15563274031764,1.6208450186264038,97.265625,0.0,4.290039062499999,-6.91,0.97265625,0.97265625,6.625983935742973,6.800000000000001,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;1.22831853072;1.22831853072;0.628318530718;1.22831853072;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,8,method,cobyla_iteration,8,256,1.0,1.0,1.6188721079867898,1.6188721079867898,0.3818437704347204,0.3818437704347204,38.18437704347204,38.18437704347204,1.6188721079867898,97.265625,0.390625,4.276406249999997,-6.91,0.97265625,0.97265625,6.641325301204821,6.91,COBYLA,aer_noise,11,7,1.22831853072;1.22831853072;1.22831853072;1.22831853072;0.628318530718;1.22831853072;1.22831853072,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,9,method,cobyla_iteration,9,256,1.0,1.0,1.616000364133141,1.616000364133141,0.3822629437329486,0.3822629437329486,38.22629437329486,38.22629437329486,1.616000364133141,97.265625,0.0,4.2565625,-6.91,0.97265625,0.97265625,6.662610441767068,6.8,COBYLA,aer_noise,11,7,1.53037336646;1.33787888299;1.27305931202;1.61418048852;0.565026693749;1.52120696249;1.35512045237,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,10,method,cobyla_iteration,10,256,1.0,1.0,1.620392775499845,1.620392775499845,0.3816221786862651,0.3816221786862651,38.162217868626506,38.162217868626506,1.620392775499845,97.265625,0.0,4.286914062500001,-6.91,0.97265625,0.97265625,6.630361445783133,6.800000000000001,COBYLA,aer_noise,11,7,1.02733227582;1.40699168271;1.30128266649;1.85758971143;0.525100972796;1.70596667807;1.43510956918,depolarizing_readout,5e-05,0.0005,0.0001
