application_id,case_index,method_label,parameter_name,parameter_value,problem_n,compressed_qubits,shots,success_probability,precision,marked_state,noise_model,simulation_backend
Func-9,1,method,grover_iteration_r,1,12,6,256,0.10546875,0.10546875,111111,none,aer
Func-9,1,baseline,grover_iteration_r,1,12,6,256,0.0,0.0,111111111111,none,aer
Func-9,2,method,grover_iteration_r,2,12,6,256,0.38671875,0.38671875,111111,none,aer
Func-9,2,baseline,grover_iteration_r,2,12,6,256,0.0,0.0,111111111111,none,aer
Func-9,3,method,grover_iteration_r,3,12,6,256,0.57421875,0.57421875,111111,none,aer
Func-9,3,baseline,grover_iteration_r,3,12,6,256,0.0234375,0.0234375,111111111111,none,aer
Func-9,4,method,grover_iteration_r,4,12,6,256,0.8125,0.8125,111111,none,aer
Func-9,4,baseline,grover_iteration_r,4,12,6,256,0.02734375,0.02734375,111111111111,none,aer
Func-9,5,method,grover_iteration_r,5,12,6,256,0.95703125,0.95703125,111111,none,aer
Func-9,5,baseline,grover_iteration_r,5,12,6,256,0.03515625,0.03515625,111111111111,none,aer
Func-9,6,method,grover_iteration_r,6,12,6,256,0.99609375,0.99609375,111111,none,aer
Func-9,6,baseline,grover_iteration_r,6,12,6,256,0.046875,0.046875,111111111111,none,aer
Func-9,7,method,grover_iteration_r,7,12,6,256,0.8984375,0.8984375,111111,none,aer
Func-9,7,baseline,grover_iteration_r,7,12,6,256,0.07421875,0.07421875,111111111111,none,aer
Func-9,8,method,grover_iteration_r,8,12,6,256,0.73046875,0.73046875,111111,none,aer
Func-9,8,baseline,grover_iteration_r,8,12,6,256,0.078125,0.078125,111111111111,none,aer
Func-9,9,method,grover_iteration_r,9,12,6,256,0.49609375,0.49609375,111111,none,aer
Func-9,9,baseline,grover_iteration_r,9,12,6,256,0.046875,0.046875,111111111111,none,aer
Func-9,10,method,grover_iteration_r,10,12,6,256,0.2265625,0.2265625,111111,none,aer
Func-9,10,baseline,grover_iteration_r,10,12,6,256,0.0703125,0.0703125,111111111111,none,aer
Func-9,11,method,grover_iteration_r,11,12,6,256,0.078125,0.078125,111111,none,aer
Func-9,11,baseline,grover_iteration_r,11,12,6,256,0.12890625,0.12890625,111111111111,none,aer
Func-9,12,method,grover_iteration_r,12,12,6,256,0.0,0.0,111111,none,aer
Func-9,12,baseline,grover_iteration_r,12,12,6,256,0.1640625,0.1640625,111111111111,none,aer
Func-9,13,method,grover_iteration_r,13,12,6,256,0.04296875,0.04296875,111111,none,aer
Func-9,13,baseline,grover_iteration_r,13,12,6,256,0.1875,0.1875,111111111111,none,aer
Func-9,14,method,grover_iteration_r,14,12,6,256,0.265625,0.265625,111111,none,aer
Func-9,14,baseline,grover_iteration_r,14,12,6,256,0.2109375,0.2109375,111111111111,none,aer
Func-9,15,method,grover_iteration_r,15,12,6,256,0.41796875,0.41796875,111111,none,aer
Func-9,15,baseline,grover_iteration_r,15,12,6,256,0.24609375,0.24609375,111111111111,none,aer
Func-9,16,method,grover_iteration_r,16,12,6,256,0.6796875,0.6796875,111111,none,aer
Func-9,16,baseline,grover_iteration_r,16,12,6,256,0.25,0.25,111111111111,none,aer
Func-9,17,method,grover_iteration_r,17,12,6,256,0.9140625,0.9140625,111111,none,aer
Func-9,17,baseline,grover_iteration_r,17,12,6,256,0.25,0.25,111111111111,none,aer
Func-9,18,method,grover_iteration_r,18,12,6,256,0.9921875,0.9921875,111111,none,aer
Func-9,18,baseline,grover_iteration_r,18,12,6,256,0.29296875,0.29296875,111111111111,none,aer
Func-9,19,method,grover_iteration_r,19,12,6,256,0.95703125,0.95703125,111111,none,aer
Func-9,19,baseline,grover_iteration_r,19,12,6,256,0.3359375,0.3359375,111111111111,none,aer
Func-9,20,method,grover_iteration_r,20,12,6,256,0.8359375,0.8359375,111111,none,aer
Func-9,20,baseline,grover_iteration_r,20,12,6,256,0.3828125,0.3828125,111111111111,none,aer
