application_id,case_index,method_label,parameter_name,parameter_value,problem_n,compressed_qubits,shots,success_probability,precision,marked_state,noise_model,simulation_backend
Func-5,1,method,grover_iteration_r,1,8,4,1024,0.4677734375,0.4677734375,1111,none,aer
Func-5,1,baseline,grover_iteration_r,1,8,4,1024,0.03515625,0.03515625,11111111,none,aer
Func-5,2,method,grover_iteration_r,2,8,4,1024,0.9091796875,0.9091796875,1111,none,aer
Func-5,2,baseline,grover_iteration_r,2,8,4,1024,0.09765625,0.09765625,11111111,none,aer
Func-5,3,method,grover_iteration_r,3,8,4,1024,0.962890625,0.962890625,1111,none,aer
Func-5,3,baseline,grover_iteration_r,3,8,4,1024,0.1845703125,0.1845703125,11111111,none,aer
Func-5,4,method,grover_iteration_r,4,8,4,1024,0.58984375,0.58984375,1111,none,aer
Func-5,4,baseline,grover_iteration_r,4,8,4,1024,0.275390625,0.275390625,11111111,none,aer
Func-5,5,method,grover_iteration_r,5,8,4,1024,0.119140625,0.119140625,1111,none,aer
Func-5,5,baseline,grover_iteration_r,5,8,4,1024,0.3837890625,0.3837890625,11111111,none,aer
Func-5,6,method,grover_iteration_r,6,8,4,1024,0.0166015625,0.0166015625,1111,none,aer
Func-5,6,baseline,grover_iteration_r,6,8,4,1024,0.50390625,0.50390625,11111111,none,aer
Func-5,7,method,grover_iteration_r,7,8,4,1024,0.353515625,0.353515625,1111,none,aer
Func-5,7,baseline,grover_iteration_r,7,8,4,1024,0.66015625,0.66015625,11111111,none,aer
Func-5,8,method,grover_iteration_r,8,8,4,1024,0.84375,0.84375,1111,none,aer
Func-5,8,baseline,grover_iteration_r,8,8,4,1024,0.7685546875,0.7685546875,11111111,none,aer
Func-5,9,method,grover_iteration_r,9,8,4,1024,0.9912109375,0.9912109375,1111,none,aer
Func-5,9,baseline,grover_iteration_r,9,8,4,1024,0.859375,0.859375,11111111,none,aer
Func-5,10,method,grover_iteration_r,10,8,4,1024,0.6728515625,0.6728515625,1111,none,aer
Func-5,10,baseline,grover_iteration_r,10,8,4,1024,0.9326171875,0.9326171875,11111111,none,aer
Func-5,11,method,grover_iteration_r,11,8,4,1024,0.197265625,0.197265625,1111,none,aer
Func-5,11,baseline,grover_iteration_r,11,8,4,1024,0.978515625,0.978515625,11111111,none,aer
Func-5,12,method,grover_iteration_r,12,8,4,1024,0.0,0.0,1111,none,aer
Func-5,12,baseline,grover_iteration_r,12,8,4,1024,1.0,1.0,11111111,none,aer
Func-5,13,method,grover_iteration_r,13,8,4,1024,0.236328125,0.236328125,1111,none,aer
Func-5,13,baseline,grover_iteration_r,13,8,4,1024,0.9794921875,0.9794921875,11111111,none,aer
Func-5,14,method,grover_iteration_r,14,8,4,1024,0.7646484375,0.7646484375,1111,none,aer
Func-5,14,baseline,grover_iteration_r,14,8,4,1024,0.9521484375,0.9521484375,11111111,none,aer
Func-5,15,method,grover_iteration_r,15,8,4,1024,1.0,1.0,1111,none,aer
Func-5,15,baseline,grover_iteration_r,15,8,4,1024,0.8662109375,0.8662109375,11111111,none,aer
Func-5,16,method,grover_iteration_r,16,8,4,1024,0.783203125,0.783203125,1111,none,aer
Func-5,16,baseline,grover_iteration_r,16,8,4,1024,0.7890625,0.7890625,11111111,none,aer
Func-5,17,method,grover_iteration_r,17,8,4,1024,0.3046875,0.3046875,1111,none,aer
Func-5,17,baseline,grover_iteration_r,17,8,4,1024,0.6591796875,0.6591796875,11111111,none,aer
Func-5,18,method,grover_iteration_r,18,8,4,1024,0.0029296875,0.0029296875,1111,none,aer
Func-5,18,baseline,grover_iteration_r,18,8,4,1024,0.5322265625,0.5322265625,11111111,none,aer
Func-5,19,method,grover_iteration_r,19,8,4,1024,0.1572265625,0.1572265625,1111,none,aer
Func-5,19,baseline,grover_iteration_r,19,8,4,1024,0.41015625,0.41015625,11111111,none,aer
Func-5,20,method,grover_iteration_r,20,8,4,1024,0.654296875,0.654296875,1111,none,aer
Func-5,20,baseline,grover_iteration_r,20,8,4,1024,0.3212890625,0.3212890625,11111111,none,aer
