变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
5.0,37.0,244.0,22.0,116.0,6.594594594594595,5.2727272727272725
7.0,50.0,446.0,22.0,152.0,8.92,6.909090909090909
11.0,85.0,1366.0,32.0,320.0,16.070588235294117,10.0
14.0,109.0,2242.0,32.0,410.0,20.568807339449542,12.8125
16.0,122.0,2792.0,32.0,452.0,22.885245901639344,14.125
19.0,146.0,3998.0,32.0,551.0,27.383561643835616,17.21875
21.0,159.0,4722.0,32.0,593.0,29.69811320754717,18.53125
25.0,194.0,7154.0,32.0,740.0,36.876288659793815,23.125
28.0,218.0,9020.0,32.0,830.0,41.37614678899082,25.9375
30.0,231.0,10092.0,32.0,872.0,43.688311688311686,27.25
