application_id,case_index,n,method_algorithm,baseline_algorithm,method_operation_count,baseline_operation_count,method_depth,baseline_depth,method_iterations,baseline_iterations,method_complexity,baseline_complexity,method_search_space,baseline_search_space,operation_speedup,complexity_speedup,search_space_reduction,case_descriptor,method_best_accuracy,baseline_best_accuracy,method_best_feasible_probability,baseline_best_feasible_probability,method_best_ARG,baseline_best_ARG,method_parameter_count,baseline_qaoa_layers,baseline_parameter_count,method_best_objective,baseline_best_objective,optimizer,scaling_iteration_policy,method_simulation_backend,baseline_simulation_backend
Func-8,1,5,rasengan,penalty_qaoa,37,244,22,116,200,200,4400,23200,6,32,6.594594594594595,5.2727272727272725,5.333333333333333,"2,3",,,,,,,3,6,12,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,2,7,rasengan,penalty_qaoa,50,446,22,152,200,200,4400,30400,12,128,8.92,6.909090909090909,10.666666666666666,"2,3,2",,,,,,,4,8,16,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,3,11,rasengan,penalty_qaoa,85,1366,32,320,200,200,6400,64000,48,2048,16.070588235294117,10.0,42.666666666666664,"2,3,2,4",,,,,,,7,14,28,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,4,14,rasengan,penalty_qaoa,109,2242,32,410,200,200,6400,82000,144,16384,20.568807339449542,12.8125,113.77777777777777,"2,3,2,4,3",,,,,,,9,18,36,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,5,16,rasengan,penalty_qaoa,122,2792,32,452,200,200,6400,90400,288,65536,22.885245901639344,14.125,227.55555555555554,"2,3,2,4,3,2",,,,,,,10,20,40,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,6,19,rasengan,penalty_qaoa,146,3998,32,551,200,200,6400,110200,864,524288,27.383561643835616,17.21875,606.8148148148148,"2,3,2,4,3,2,3",,,,,,,12,24,48,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,7,21,rasengan,penalty_qaoa,159,4722,32,593,200,200,6400,118600,1728,2097152,29.69811320754717,18.53125,1213.6296296296296,"2,3,2,4,3,2,3,2",,,,,,,13,26,52,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,8,25,rasengan,penalty_qaoa,194,7154,32,740,200,200,6400,148000,6912,33554432,36.876288659793815,23.125,4854.518518518518,"2,3,2,4,3,2,3,2,4",,,,,,,16,32,64,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,9,28,rasengan,penalty_qaoa,218,9020,32,830,200,200,6400,166000,20736,268435456,41.37614678899082,25.9375,12945.382716049382,"2,3,2,4,3,2,3,2,4,3",,,,,,,18,36,72,,,COBYLA,fixed_budget,ddsim,ddsim
Func-8,10,30,rasengan,penalty_qaoa,231,10092,32,872,200,200,6400,174400,41472,1073741824,43.688311688311686,27.25,25890.765432098764,"2,3,2,4,3,2,3,2,4,3,2",,,,,,,19,38,76,,,COBYLA,fixed_budget,ddsim,ddsim
