application_id,case_index,n,compressed_qubits,method_algorithm,baseline_algorithm,method_operation_count,baseline_operation_count,method_two_qubit_count,baseline_two_qubit_count,method_depth,baseline_depth,method_iterations,baseline_iterations,method_complexity,baseline_complexity,method_search_space,baseline_search_space,operation_speedup,two_qubit_speedup,depth_speedup,complexity_speedup,search_space_reduction,marked_sfs,marked_plain,resource_transpile_basis,method_single_iteration_operation_count,method_single_iteration_two_qubit_count,method_single_iteration_depth,baseline_single_iteration_operation_count,baseline_single_iteration_two_qubit_count,baseline_single_iteration_depth
Func-9,1,4,2,sfs_grover,plain_grover,14,186,4,84,10,159,2,3,10,159,4,16,13.285714285714286,21,15.9,15.9,4,11,1111,"u1,u2,u3,cx,measure",7,2,5,62,28,53
Func-9,2,5,3,sfs_grover,plain_grover,66,644,24,288,46,516,2,4,46,516,8,32,9.757575757575758,12,11.217391304347826,11.217391304347826,4,111,11111,"u1,u2,u3,cx,measure",33,12,23,161,72,129
Func-9,3,6,3,sfs_grover,plain_grover,66,2184,24,1008,46,1566,2,6,46,1566,8,64,33.09090909090909,42,34.04347826086956,34.04347826086956,8,111,111111,"u1,u2,u3,cx,measure",33,12,23,364,168,261
Func-9,4,7,4,sfs_grover,plain_grover,186,5076,84,2232,159,3429,3,9,159,3429,16,128,27.29032258064516,26.571428571428573,21.566037735849058,21.566037735849058,8,1111,1111111,"u1,u2,u3,cx,measure",62,28,53,564,248,381
Func-9,5,8,4,sfs_grover,plain_grover,186,10465,84,4680,159,6539,3,13,159,6539,16,256,56.263440860215056,55.714285714285715,41.125786163522015,41.125786163522015,16,1111,11111111,"u1,u2,u3,cx,measure",62,28,53,805,360,503
Func-9,6,9,5,sfs_grover,plain_grover,644,19782,288,9072,516,13194,4,18,516,13194,32,512,30.717391304347824,31.5,25.569767441860463,25.569767441860463,16,11111,111111111,"u1,u2,u3,cx,measure",161,72,129,1099,504,733
Func-9,7,10,5,sfs_grover,plain_grover,644,36150,288,16600,516,25775,4,25,516,25775,32,1024,56.13354037267081,57.638888888888886,49.951550387596896,49.951550387596896,32,11111,1111111111,"u1,u2,u3,cx,measure",161,72,129,1446,664,1031
Func-9,8,11,6,sfs_grover,plain_grover,2184,71352,1008,32544,1566,47952,6,36,1566,47952,64,2048,32.67032967032967,32.285714285714285,30.620689655172413,30.620689655172413,32,111111,11111111111,"u1,u2,u3,cx,measure",364,168,261,1982,904,1332
Func-9,9,12,6,sfs_grover,plain_grover,2184,122850,1008,56400,1566,87000,6,50,1566,87000,64,4096,56.25,55.95238095238095,55.55555555555556,55.55555555555556,64,111111,111111111111,"u1,u2,u3,cx,measure",364,168,261,2457,1128,1740
Func-9,10,13,7,sfs_grover,plain_grover,5076,220668,2232,101672,3429,158472,9,71,3429,158472,128,8192,43.472813238770684,45.551971326164875,46.21522309711286,46.21522309711286,64,1111111,1111111111111,"u1,u2,u3,cx,measure",564,248,381,3108,1432,2232
