application_id,case_index,method_label,parameter_name,parameter_value,problem_n,compressed_qubits,shots,success_probability,precision,marked_state,noise_model,simulation_backend
Func-5,1,method,grover_iteration_r,1,8,4,1024,0.45703125,0.45703125,1111,depolarizing_readout,aer_noise
Func-5,1,baseline,grover_iteration_r,1,8,4,1024,0.0263671875,0.0263671875,11111111,depolarizing_readout,aer_noise
Func-5,2,method,grover_iteration_r,2,8,4,1024,0.8974609375,0.8974609375,1111,depolarizing_readout,aer_noise
Func-5,2,baseline,grover_iteration_r,2,8,4,1024,0.0576171875,0.0576171875,11111111,depolarizing_readout,aer_noise
Func-5,3,method,grover_iteration_r,3,8,4,1024,0.93359375,0.93359375,1111,depolarizing_readout,aer_noise
Func-5,3,baseline,grover_iteration_r,3,8,4,1024,0.1083984375,0.1083984375,11111111,depolarizing_readout,aer_noise
Func-5,4,method,grover_iteration_r,4,8,4,1024,0.572265625,0.572265625,1111,depolarizing_readout,aer_noise
Func-5,4,baseline,grover_iteration_r,4,8,4,1024,0.1435546875,0.1435546875,11111111,depolarizing_readout,aer_noise
Func-5,5,method,grover_iteration_r,5,8,4,1024,0.1337890625,0.1337890625,1111,depolarizing_readout,aer_noise
Func-5,5,baseline,grover_iteration_r,5,8,4,1024,0.1689453125,0.1689453125,11111111,depolarizing_readout,aer_noise
Func-5,6,method,grover_iteration_r,6,8,4,1024,0.0244140625,0.0244140625,1111,depolarizing_readout,aer_noise
Func-5,6,baseline,grover_iteration_r,6,8,4,1024,0.189453125,0.189453125,11111111,depolarizing_readout,aer_noise
Func-5,7,method,grover_iteration_r,7,8,4,1024,0.3291015625,0.3291015625,1111,depolarizing_readout,aer_noise
Func-5,7,baseline,grover_iteration_r,7,8,4,1024,0.203125,0.203125,11111111,depolarizing_readout,aer_noise
Func-5,8,method,grover_iteration_r,8,8,4,1024,0.7568359375,0.7568359375,1111,depolarizing_readout,aer_noise
Func-5,8,baseline,grover_iteration_r,8,8,4,1024,0.203125,0.203125,11111111,depolarizing_readout,aer_noise
Func-5,9,method,grover_iteration_r,9,8,4,1024,0.8857421875,0.8857421875,1111,depolarizing_readout,aer_noise
Func-5,9,baseline,grover_iteration_r,9,8,4,1024,0.1904296875,0.1904296875,11111111,depolarizing_readout,aer_noise
Func-5,10,method,grover_iteration_r,10,8,4,1024,0.6025390625,0.6025390625,1111,depolarizing_readout,aer_noise
Func-5,10,baseline,grover_iteration_r,10,8,4,1024,0.1865234375,0.1865234375,11111111,depolarizing_readout,aer_noise
Func-5,11,method,grover_iteration_r,11,8,4,1024,0.208984375,0.208984375,1111,depolarizing_readout,aer_noise
Func-5,11,baseline,grover_iteration_r,11,8,4,1024,0.1767578125,0.1767578125,11111111,depolarizing_readout,aer_noise
Func-5,12,method,grover_iteration_r,12,8,4,1024,0.017578125,0.017578125,1111,depolarizing_readout,aer_noise
Func-5,12,baseline,grover_iteration_r,12,8,4,1024,0.1474609375,0.1474609375,11111111,depolarizing_readout,aer_noise
Func-5,13,method,grover_iteration_r,13,8,4,1024,0.240234375,0.240234375,1111,depolarizing_readout,aer_noise
Func-5,13,baseline,grover_iteration_r,13,8,4,1024,0.1396484375,0.1396484375,11111111,depolarizing_readout,aer_noise
Func-5,14,method,grover_iteration_r,14,8,4,1024,0.6123046875,0.6123046875,1111,depolarizing_readout,aer_noise
Func-5,14,baseline,grover_iteration_r,14,8,4,1024,0.0947265625,0.0947265625,11111111,depolarizing_readout,aer_noise
Func-5,15,method,grover_iteration_r,15,8,4,1024,0.845703125,0.845703125,1111,depolarizing_readout,aer_noise
Func-5,15,baseline,grover_iteration_r,15,8,4,1024,0.095703125,0.095703125,11111111,depolarizing_readout,aer_noise
Func-5,16,method,grover_iteration_r,16,8,4,1024,0.6474609375,0.6474609375,1111,depolarizing_readout,aer_noise
Func-5,16,baseline,grover_iteration_r,16,8,4,1024,0.0771484375,0.0771484375,11111111,depolarizing_readout,aer_noise
Func-5,17,method,grover_iteration_r,17,8,4,1024,0.251953125,0.251953125,1111,depolarizing_readout,aer_noise
Func-5,17,baseline,grover_iteration_r,17,8,4,1024,0.056640625,0.056640625,11111111,depolarizing_readout,aer_noise
Func-5,18,method,grover_iteration_r,18,8,4,1024,0.025390625,0.025390625,1111,depolarizing_readout,aer_noise
Func-5,18,baseline,grover_iteration_r,18,8,4,1024,0.05078125,0.05078125,11111111,depolarizing_readout,aer_noise
Func-5,19,method,grover_iteration_r,19,8,4,1024,0.15625,0.15625,1111,depolarizing_readout,aer_noise
Func-5,19,baseline,grover_iteration_r,19,8,4,1024,0.02734375,0.02734375,11111111,depolarizing_readout,aer_noise
Func-5,20,method,grover_iteration_r,20,8,4,1024,0.53125,0.53125,1111,depolarizing_readout,aer_noise
Func-5,20,baseline,grover_iteration_r,20,8,4,1024,0.0224609375,0.0224609375,11111111,depolarizing_readout,aer_noise
