变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
4.0,4.0,16.0,4.0
5.0,8.0,32.0,4.0
6.0,8.0,64.0,8.0
7.0,16.0,128.0,8.0
8.0,16.0,256.0,16.0
9.0,32.0,512.0,16.0
10.0,32.0,1024.0,32.0
11.0,64.0,2048.0,32.0
12.0,64.0,4096.0,64.0
13.0,128.0,8192.0,64.0
14.0,128.0,16384.0,128.0
15.0,256.0,32768.0,128.0
16.0,256.0,65536.0,256.0
17.0,512.0,131072.0,256.0
18.0,512.0,262144.0,512.0
19.0,1024.0,524288.0,512.0
20.0,1024.0,1048576.0,1024.0
21.0,2048.0,2097152.0,1024.0
22.0,2048.0,4194304.0,2048.0
23.0,4096.0,8388608.0,2048.0
