量子电路参数,我们的精度,基线精度
1.0,0.9347756011356144,0.002980639286347091
2.0,0.941662452343912,0.0024209530981615466
3.0,0.9441855747477302,0.0028562765164362766
4.0,0.9452198259451146,0.0033000731618856773
5.0,0.9542345451951888,0.002619694066492312
6.0,0.9527441158394058,0.0031194682807761044
7.0,0.9611927970857393,0.004082262795784284
8.0,0.9642368510923249,0.0042451279095103225
9.0,0.9653576651411865,0.005114163629162805
10.0,0.9605195284165623,0.005153151086096135
11.0,0.9647837776910365,0.004780817524911928
12.0,0.9680148406313406,0.004894687402124875
13.0,0.9677818201261162,0.004300344289243392
14.0,0.9716410613742806,0.0040708473183956526
15.0,0.9709637403124648,0.0038581682539419538
16.0,0.9708092088605612,0.0032165121420046666
17.0,0.9735608144921934,0.004561813696039193
18.0,0.9729450264998704,0.0032073717285169344
19.0,0.973207310460378,0.006720244948617663
20.0,0.9721429944927243,0.0028172845309062814
21.0,0.9729343240349979,0.003945030229896091
22.0,,0.002696850031481602
23.0,,0.00380473584706754
