变量数n,我们的总复杂度,基线总复杂度,加速比
4.0,10.0,159.0,15.9
5.0,46.0,516.0,11.217391304347826
6.0,46.0,1566.0,34.04347826086956
7.0,159.0,3429.0,21.566037735849058
8.0,159.0,6539.0,41.125786163522015
9.0,516.0,13194.0,25.569767441860463
10.0,516.0,25775.0,49.951550387596896
11.0,1566.0,47952.0,30.620689655172413
12.0,1566.0,87000.0,55.55555555555556
13.0,3429.0,158472.0,46.21522309711286
14.0,3429.0,275932.0,80.47010790317877
15.0,6539.0,474280.0,72.53096803792629
16.0,6539.0,787920.0,120.49548860682062
17.0,13194.0,1322304.0,100.22010004547522
18.0,13194.0,2194920.0,166.35743519781718
19.0,25775.0,3623392.0,140.57776915615906
20.0,25775.0,5631216.0,218.47588748787584
21.0,47952.0,9123288.0,190.25875875875874
22.0,47952.0,12880080.0,268.60360360360363
23.0,87000.0,17051125.0,195.98994252873564
