变量数n,我们的总复杂度,基线总复杂度,复杂度降低比例
4.0,10.0,159.0,0.9371069182389937
5.0,46.0,516.0,0.9108527131782945
6.0,46.0,1566.0,0.9706257982120051
7.0,159.0,3429.0,0.9536307961504812
8.0,159.0,6539.0,0.9756843554060254
9.0,516.0,13194.0,0.9608913142337426
10.0,516.0,25775.0,0.979980601357905
11.0,1566.0,47952.0,0.9673423423423424
12.0,1566.0,87000.0,0.982
13.0,3429.0,158472.0,0.978362108132667
14.0,3429.0,275932.0,0.9875730252381021
15.0,6539.0,474280.0,0.9862127856962132
16.0,6539.0,787920.0,0.9917009341049853
17.0,13194.0,1322304.0,0.9900219616669087
18.0,13194.0,2194920.0,0.9939888469739216
19.0,25775.0,3623392.0,0.9928864997218076
20.0,25775.0,5631216.0,0.9954228358493086
21.0,47952.0,9123288.0,0.9947440001894055
22.0,47952.0,12880080.0,0.9962770417575046
23.0,87000.0,17051125.0,0.9948976973660095
