application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector
Func-7,1,method,cobyla_iteration,1,256,1.0,1.0,0.02010354560494659,0.02010354560494659,0.9802926421621007,0.9802926421621007,98.02926421621007,98.02926421621007,0.02010354560494659,100.0,5.859375,-5.751992187499999,-5.87,1.0,1.0,5.751992187499999,5.87,COBYLA,ddsim,12,4,0.628318530718;0.628318530718;0.628318530718;0.628318530718
Func-7,2,method,cobyla_iteration,2,256,1.0,1.0,0.018839171667528666,0.018839171667528666,0.9815091800635278,0.9815091800635278,98.15091800635278,98.15091800635278,0.018839171667528666,100.0,0.390625,-5.7594140624999985,-5.87,1.0,1.0,5.7594140624999985,5.87,COBYLA,ddsim,12,4,1.22831853072;0.628318530718;0.628318530718;0.628318530718
Func-7,3,method,cobyla_iteration,3,256,1.0,1.0,0.01748163333472168,0.01748163333472168,0.9828187234422828,0.9828187234422828,98.28187234422828,98.28187234422828,0.01748163333472168,100.0,3.90625,-5.7673828125,-5.87,1.0,1.0,5.7673828125,5.87,COBYLA,ddsim,12,4,1.22831853072;1.22831853072;0.628318530718;0.628318530718
Func-7,4,method,cobyla_iteration,4,256,1.0,1.0,0.016317078392362985,0.016317078392362985,0.9839448940303417,0.9839448940303417,98.39448940303417,98.39448940303417,0.016317078392362985,100.0,0.78125,-5.77421875,-5.87,1.0,1.0,5.77421875,5.87,COBYLA,ddsim,12,4,1.22831853072;1.22831853072;1.22831853072;0.628318530718
Func-7,5,method,cobyla_iteration,5,256,1.0,1.0,0.01563830922595964,0.01563830922595964,0.9846024819230402,0.9846024819230402,98.46024819230402,98.46024819230402,0.01563830922595964,100.0,0.78125,-5.778203125,-5.87,1.0,1.0,5.778203125,5.87,COBYLA,ddsim,12,4,1.22831853072;1.22831853072;1.22831853072;1.22831853072
Func-7,6,method,cobyla_iteration,6,256,1.0,1.0,0.017035775156790167,0.01563830922595964,0.9832495812114732,0.9846024819230402,98.32495812114732,98.46024819230402,0.017035775156790167,100.0,0.0,-5.77,-5.87,1.0,1.0,5.77,5.87,COBYLA,ddsim,12,4,1.55914266556;1.58351918076;1.5330249707;1.40591885574
Func-7,7,method,cobyla_iteration,7,256,1.0,1.0,0.014320698491176646,0.014320698491176646,0.9858814884557923,0.9858814884557923,98.58814884557923,98.58814884557923,0.014320698491176646,100.0,3.515625,-5.7859375,-5.87,1.0,1.0,5.7859375,5.87,COBYLA,ddsim,12,4,0.945371033324;1.29906921732;1.28901152167;1.26369387402
Func-7,8,method,cobyla_iteration,8,256,1.0,1.0,0.012909923361005191,0.012909923361005191,0.9872546185368902,0.9872546185368902,98.72546185368903,98.72546185368903,0.012909923361005191,100.0,1.5625,-5.794218749999999,-5.87,1.0,1.0,5.794218749999999,5.87,COBYLA,ddsim,12,4,0.693110424458;1.19409111118;1.39603140164;1.32607117548
Func-7,9,method,cobyla_iteration,9,256,1.0,1.0,0.01171209542029342,0.01171209542029342,0.9884234897721295,0.9884234897721295,98.84234897721295,98.84234897721295,0.01171209542029342,100.0,0.78125,-5.801249999999999,-5.87,1.0,1.0,5.801249999999999,5.87,COBYLA,ddsim,12,4,0.129982928675;1.07840895556;1.49660730019;1.46531754346
Func-7,10,method,cobyla_iteration,10,256,1.0,1.0,0.00835152258662948,0.00835152258662948,0.9917176476659586,0.9917176476659586,99.17176476659586,99.17176476659586,0.00835152258662948,100.0,15.234375,-5.8209765625,-5.87,1.0,1.0,5.8209765625,5.87,COBYLA,ddsim,12,4,-0.291083766534;1.33544541243;1.17134674403;1.5694360751
